Generation,Mean fitness,Best fitness
1317,25.686,24.4
1318,25.682,24.4
1319,25.682,24.4
1320,25.682,24.4
1321,25.666,24.4
1322,25.666,24.4
1323,25.666,24.4
1324,25.666,24.4
1325,25.666,24.4
1326,25.666,24.4
1327,25.666,24.4
1328,25.65,24.4
1329,25.65,24.4
1330,25.65,24.4
1331,25.65,24.4
1332,25.65,24.4
1333,25.65,24.4
1334,25.65,24.4
1335,25.65,24.4
1336,25.65,24.4
1337,25.65,24.4
1338,25.65,24.4
1339,25.65,24.4
1340,25.65,24.4
1341,25.642,24.4
1342,25.642,24.4
1343,25.642,24.4
1344,25.642,24.4
1345,25.642,24.4
1346,25.638,24.4
1347,25.626,24.4
1348,25.626,24.4
1349,25.618,24.4
1350,25.592,24.4
1351,25.592,24.4
1352,25.592,24.4
1353,25.592,24.4
1354,25.592,24.4
1355,25.592,24.4
1356,25.586,24.4
1357,25.586,24.4
1358,25.586,24.4
